,ori,,,
1582891718145,114.51224,-14.474826,11.237928,DATA
1582891718161,113.90466,-14.118503,11.613326,DATA
1582891718188,113.30859,-14.355645,12.036803,DATA
1582891718200,113.059265,-14.222076,11.875519,DATA
1582891718219,112.854034,-13.911212,12.139015,DATA
1582891718240,112.68915,-14.789033,12.329858,DATA
1582891718259,112.883545,-14.188868,11.803806,DATA
1582891718286,112.84015,-14.481092,12.210253,DATA
1582891718315,113.11975,-14.612801,11.402252,DATA
1582891718316,113.24933,-14.461061,11.74338,DATA
1582891718334,113.390564,-15.037725,11.509252,DATA
1582891718355,113.71777,-14.92063,11.125014,DATA
1582891718374,113.83121,-14.8741455,11.266577,DATA
1582891718404,114.05481,-15.557793,10.846771,DATA
1582891718412,114.341064,-14.818544,10.71621,DATA
1582891718429,114.459625,-15.387075,10.623841,DATA
1582891718450,114.76169,-15.361977,10.150185,DATA
1582891718473,114.871216,-15.744898,10.255553,DATA
1582891718503,115.042816,-15.9548235,9.899516,DATA
1582891718507,115.197815,-15.930196,9.951223,DATA
1582891718526,115.33124,-15.744762,9.831166,DATA
1582891718547,115.39029,-16.55879,9.82987,DATA
1582891718584,115.561615,-15.549262,9.465793,DATA
1582891718585,115.43332,-16.395288,9.807887,DATA
1582891718602,115.66354,-16.371895,9.235942,DATA
1582891718621,115.547424,-16.38351,9.782856,DATA
1582891718642,115.61099,-15.856412,9.445148,DATA
1582891718664,115.61615,-15.68135,9.399094,DATA
1582891718688,115.53351,-16.45637,9.483085,DATA
1582891718717,115.35925,-16.959938,9.63726,DATA
1582891718720,115.29175,-16.079,9.61039,DATA
1582891718738,114.96512,-16.341238,9.912056,DATA
1582891718755,114.82684,-16.271606,9.676531,DATA
1582891718774,114.48999,-16.186642,10.144121,DATA
1582891718794,114.11279,-16.640686,10.19375,DATA
1582891718814,113.88367,-15.872231,10.24393,DATA
1582891718833,113.46356,-16.200096,10.680138,DATA
1582891718855,113.15692,-16.190083,10.597061,DATA
1582891718871,112.823,-15.994462,11.017455,DATA
1582891718891,112.32681,-16.081074,11.166988,DATA
1582891718920,112.02634,-15.601163,11.291863,DATA
1582891718929,111.65555,-15.501593,11.569342,DATA
1582891718968,111.23813,-16.257385,11.815998,DATA
1582891718968,110.91138,-15.351303,11.849968,DATA
1582891718985,110.35071,-15.116777,12.356896,DATA
1582891719005,109.82391,-15.683028,12.420805,DATA
1582891719025,109.19235,-15.58065,12.86417,DATA
1582891719045,108.37616,-15.567947,13.273812,DATA
1582891719063,107.68741,-15.594933,13.477852,DATA
1582891719109,106.74283,-15.675708,14.297844,DATA
1582891719110,106.02118,-15.21334,14.269259,DATA
1582891719120,105.22009,-14.762669,14.700659,DATA
1582891719140,104.34924,-14.86444,15.08929,DATA
1582891719159,103.48816,-15.391872,15.363525,DATA
1582891719179,102.653076,-14.278644,15.741116,DATA
1582891719199,101.572174,-15.163754,16.436325,DATA
1582891719218,100.82773,-15.461812,16.391478,DATA
1582891719237,99.735596,-14.827668,17.377064,DATA
1582891719256,99.042175,-13.539559,16.967825,DATA
1582891719284,98.237915,-13.640147,17.352488,DATA
1582891719299,97.366394,-15.043182,17.74916,DATA
1582891719322,96.64514,-14.505835,17.868124,DATA
1582891719346,95.80151,-13.66155,18.20396,DATA
1582891719353,94.90045,-13.894161,18.271402,DATA
1582891719371,94.16742,-13.910376,18.380783,DATA
1582891719390,93.24994,-14.266056,18.780367,DATA
1582891719409,92.68329,-14.747147,18.576618,DATA
1582891719428,92.1611,-14.303972,18.60414,DATA
1582891719449,91.586426,-14.673055,18.661818,DATA
1582891719471,91.14719,-14.873483,18.40776,DATA
1582891719505,90.59338,-14.504448,18.611925,DATA
1582891719505,90.16559,-14.979746,18.28504,DATA
1582891719526,89.68649,-15.9367895,18.550236,DATA
1582891719541,89.34784,-15.282726,18.293478,DATA
1582891719561,89.073,-14.751074,17.830736,DATA
1582891719582,88.83475,-15.415677,17.628832,DATA
1582891719602,88.53262,-16.162638,17.445492,DATA
1582891719620,88.20935,-15.524899,17.228895,DATA
1582891719641,87.963196,-15.534294,16.871086,DATA
1582891719660,87.49713,-16.953386,17.12398,DATA
1582891719687,87.263855,-16.093851,16.564013,DATA
1582891719698,86.95471,-15.086501,16.590927,DATA
1582891719736,86.8501,-14.72277,15.655466,DATA
1582891719736,86.61096,-15.741954,15.780694,DATA
1582891719753,86.358185,-17.518805,15.479461,DATA
1582891719773,86.00461,-17.163254,15.4689865,DATA
1582891719792,85.72003,-15.954644,15.104125,DATA
1582891719811,85.29413,-16.055433,15.0610075,DATA
1582891719831,84.78464,-17.476776,14.981438,DATA
1582891719851,84.19162,-17.590221,15.09026,DATA
1582891719873,83.70883,-16.584517,14.870512,DATA
1582891719909,83.20093,-17.291662,14.85462,DATA
1582891719911,82.6586,-17.563179,14.7081995,DATA
1582891719940,82.27118,-16.916368,14.572606,DATA
1582891719945,81.976105,-16.511843,14.099799,DATA
1582891719965,81.71326,-17.14211,13.910171,DATA
